369723,Auchnagatt,Aberdeenshire
368994,Ballater Braemar,Aberdeenshire
369724,Collieston,Aberdeenshire
369055,Tarbert,Argyll and Bute
369009,Coll,Argyll and Bute
369010,Colonsay,Argyll and Bute
369022,Gigha,Argyll and Bute
369027,Inverary,Argyll and Bute
369029,Islay,Argyll and Bute
369042,Mull,Argyll and Bute
369057,Tiree,Argyll and Bute
369048,Rothesay,Argyll and Bute
369352,Brockley,Avon
369252,Chewmagna,Avon
369596,Midsomer Norton Radstock,Avon
369260,Nailsea,Avon
369262,Portishead,Avon
369271,Yatton,Avon
369014,Dalmellington,Ayrshire
369016,Dalry,Ayrshire
369041,Maybole,Ayrshire
369045,Prestwick,Ayrshire
369049,Saltcoats,Ayrshire
369054,Stevenston,Ayrshire
369061,West Kilbride,Ayrshire
368995,Beith Kilbirnie,Ayrshire
369354,Clapham,Bedfordshire
369660,Harlington,Bedfordshire
369702,Shefford,Bedfordshire
369728,Mourne,Belfast
369736,Greater Shankill,Belfast
369597,Datchet,Berkshire
369182,Great Whitley,Berkshire
369589,Kingsclere,Berkshire
369296,Kingsclere Tadley,Berkshire
369590,Lambourn,Berkshire
369648,Crowthorne,Berkshire
369163,Tredegar,Blaenau Gwent
368983,Abertillery,Blaenau Gwent
369131,Bedlinog,Bridgend
369169,Bedwas,Bridgend
369281,Caerphilly Bedwas,Bridgend
369687,Maerdy,Bridgend
369148,Mountain Ash,Bridgend
369686,Porth,Bridgend
369682,Tonypandy,Bridgend
369685,Treherbert,Bridgend
369684,Treorchy,Bridgend
369166,Ystrad Bargoed,Bridgend
369513,Botley,Buckinghamshire
369681,Winchmore Hill,Buckinghamshire
369731,Winstanley,Buckinghamshire
369497,Bourne End,Buckinghamshire
369384,Chatteris Ramsey,Cambridgeshire
369578,Market Deeping,Cambridgeshire
369326,Marsden Meltham,Cambridgeshire
369387,Royston (Cambs),Cambridgeshire
369356,Downham,Cambridgeshire
369141,Llandeilo,Carmarthenshire
369134,Burry Port,Carmarthenshire
369171,Aberaeron,Ceredigion
369150,New Quay,Ceredigion
369284,New Quay Aberaeron,Ceredigion
369164,Tregaron,Ceredigion
369342,Nether,Ceredigion
369537,Appleton Thorn,Cheshire
369090,Bramhall,Cheshire
369593,Bredbury,Cheshire
369091,Bredbury Romiley,Cheshire
369093,Cheadle Gatley,Cheshire
369096,Culcheth,Cheshire
369540,Daresbury,Cheshire
369127,Disley,Cheshire
369538,Grappenhall,Cheshire
369101,Hazel Grove,Cheshire
369102,High Lane,Cheshire
369103,Holmes Chapel,Cheshire
369481,Hoo Pen.,Cheshire
369726,Kelsall,Cheshire
369108,Lymm,Cheshire
369573,Malpas,Cheshire
369560,Manor Park,Cheshire
369542,Preston Brook,Cheshire
369541,Preston on the Hill,Cheshire
369535,Stockton Heath,Cheshire
369725,Tarporley,Cheshire
369574,Tarporley Kelsall,Cheshire
369543,Weaverham,Cheshire
369715,Willington,Cheshire
369177,Cheadle,Cheshire
369097,Dukinfield,Cheshire
369211,Eaglescliffe,Cleveland
369234,Sedgefield,Cleveland
369241,Thornaby,Cleveland
369204,Billingham,Cleveland
